,epoch,accuracy,false_negatives,false_positives,loss,true_negatives,true_positives
0,0,0.3240000009536743,1014.0,1012.0,42.76754379272461,3488.0,486.0
1,1,0.3373333215713501,999.0,975.0,6.595280647277832,3525.0,501.0
2,2,0.3959999978542328,919.0,887.0,5.225395679473877,3613.0,581.0
3,3,0.4040000140666961,897.0,875.0,6.350427150726318,3625.0,603.0
4,4,0.4993333220481872,756.0,730.0,4.79354190826416,3770.0,744.0
5,5,0.4906666576862335,778.0,748.0,3.550041675567627,3752.0,722.0
6,6,0.5453333258628845,700.0,635.0,2.491004228591919,3865.0,800.0
7,7,0.4486666619777679,835.0,814.0,4.604960918426514,3686.0,665.0
8,8,0.5133333206176758,748.0,701.0,3.4953744411468506,3799.0,752.0
9,9,0.5493333339691162,701.0,635.0,2.3204281330108643,3865.0,799.0
10,10,0.5059999823570251,769.0,701.0,3.643670320510864,3799.0,731.0
11,11,0.5473333597183228,712.0,628.0,2.330152034759521,3872.0,788.0
12,12,0.5486666560173035,709.0,615.0,1.839421033859253,3885.0,791.0
13,13,0.5360000133514404,722.0,648.0,2.458471298217773,3852.0,778.0
14,14,0.550000011920929,705.0,619.0,1.6539653539657593,3881.0,795.0
15,15,0.5360000133514404,732.0,635.0,2.1434600353240967,3865.0,768.0
16,16,0.5373333096504211,725.0,627.0,1.5813157558441162,3873.0,775.0
17,17,0.5566666722297668,699.0,616.0,1.836876630783081,3884.0,801.0
18,18,0.5333333611488342,728.0,650.0,2.5403547286987305,3850.0,772.0
19,19,0.5366666913032532,722.0,634.0,2.144829750061035,3866.0,778.0
20,20,0.5513333082199097,701.0,629.0,2.068483829498291,3871.0,799.0
21,21,0.5806666612625122,674.0,564.0,1.2994228601455688,3936.0,826.0
22,22,0.6033333539962769,650.0,497.0,1.1269363164901731,4003.0,850.0
23,23,0.5946666598320007,667.0,512.0,1.096071720123291,3988.0,833.0
24,24,0.5373333096504211,720.0,646.0,2.192645072937012,3854.0,780.0
25,25,0.5979999899864197,646.0,528.0,1.340717911720276,3972.0,854.0
26,26,0.5713333487510681,684.0,575.0,1.3547275066375732,3925.0,816.0
