index,node,epoch,layer,weight,bias,target
0,0,0,0,0.09712279,0,0
1,0,0,0,0.30398062,0,1
2,0,0,0,-0.019336283,0,2
3,0,0,0,-0.11842175,0,3
4,0,0,0,0.081871904,0,4
5,0,0,0,0.06044158,0,5
6,0,0,0,-0.33065185,0,6
7,0,0,0,0.06608153,0,7
8,1,0,0,-0.94026625,0,0
9,1,0,0,0.06557054,0,1
10,1,0,0,0.34927356,0,2
11,1,0,0,0.5200964,0,3
12,1,0,0,-0.48863178,0,4
13,1,0,0,1.024582,0,5
14,1,0,0,-0.15223841,0,6
15,1,0,0,-1.1523799,0,7
16,2,0,0,0.077125385,0,0
17,2,0,0,0.28274143,0,1
18,2,0,0,0.12777215,0,2
19,2,0,0,0.38946468,0,3
20,2,0,0,0.004779039,0,4
21,2,0,0,1.0815016,0,5
22,2,0,0,-0.19028476,0,6
23,2,0,0,-2.554954,0,7
24,3,0,0,0.10734848,0,0
25,3,0,0,0.11549203,0,1
26,3,0,0,0.10329473,0,2
27,3,0,0,1.0240624,0,3
28,3,0,0,-0.5672732,0,4
29,3,0,0,1.6318666,0,5
30,3,0,0,-0.16212957,0,6
31,3,0,0,-2.0446203,0,7
32,4,0,0,0.237913,0,0
33,4,0,0,-0.01735936,0,1
34,4,0,0,-0.10874805,0,2
35,4,0,0,0.35199556,0,3
36,4,0,0,0.3950725,0,4
37,4,0,0,0.72132164,0,5
38,4,0,0,0.1813692,0,6
39,4,0,0,0.041775562,0,7
40,5,0,0,0.22058554,0,0
41,5,0,0,-0.47420317,0,1
42,5,0,0,0.37036324,0,2
43,5,0,0,0.5569812,0,3
44,5,0,0,-0.28388658,0,4
45,5,0,0,0.10222196,0,5
46,5,0,0,0.27558345,0,6
47,5,0,0,0.7843042,0,7
48,6,0,0,-0.55026275,0,0
49,6,0,0,-0.47386748,0,1
50,6,0,0,0.28664833,0,2
51,6,0,0,-0.64888686,0,3
52,6,0,0,-0.47271365,0,4
53,6,0,0,-0.01394821,0,5
54,6,0,0,-0.023266561,0,6
55,6,0,0,-9.013375e-05,0,7
56,7,0,0,0.0012711383,0,0
57,7,0,0,-0.23751685,0,1
58,7,0,0,0.20460564,0,2
59,7,0,0,-0.2691108,0,3
60,7,0,0,-0.2591178,0,4
61,7,0,0,0.6985517,0,5
62,7,0,0,0.33512336,0,6
63,7,0,0,-7.456462,0,7
64,8,0,0,-0.3461187,0,0
65,8,0,0,-0.5249716,0,1
66,8,0,0,0.18420994,0,2
67,8,0,0,0.32486165,0,3
68,8,0,0,-0.20569597,0,4
69,8,0,0,-0.15881258,0,5
70,8,0,0,0.14908545,0,6
71,8,0,0,-0.18000054,0,7
72,9,0,0,-0.110106625,0,0
73,9,0,0,-0.42652774,0,1
74,9,0,0,-0.35753667,0,2
75,9,0,0,0.6010383,0,3
76,9,0,0,-0.5347287,0,4
77,9,0,0,0.8032352,0,5
78,9,0,0,-0.21559413,0,6
79,9,0,0,-0.36047807,0,7
80,10,0,0,0.034512304,0,0
81,10,0,0,0.11445608,0,1
82,10,0,0,-0.32200897,0,2
83,10,0,0,0.020053862,0,3
84,10,0,0,-0.3249456,0,4
85,10,0,0,0.577563,0,5
86,10,0,0,0.27673325,0,6
87,10,0,0,-0.12867087,0,7
88,11,0,0,-0.10732027,0,0
89,11,0,0,0.038389336,0,1
90,11,0,0,-0.32405108,0,2
91,11,0,0,-0.11597084,0,3
92,11,0,0,-0.07764577,0,4
93,11,0,0,-0.26395115,0,5
94,11,0,0,0.2911727,0,6
95,11,0,0,0.036542572,0,7
96,12,0,0,-0.21460044,0,0
97,12,0,0,-0.55627376,0,1
98,12,0,0,-0.17385495,0,2
99,12,0,0,0.027697524,0,3
100,12,0,0,-0.17954163,0,4
101,12,0,0,-0.33542547,0,5
102,12,0,0,-0.14123914,0,6
103,12,0,0,0.030546637,0,7
104,13,0,0,-0.28691545,0,0
105,13,0,0,-0.5782141,0,1
106,13,0,0,-0.15609634,0,2
107,13,0,0,-0.14789242,0,3
108,13,0,0,-0.22557653,0,4
109,13,0,0,-0.6201837,0,5
110,13,0,0,-0.13550179,0,6
111,13,0,0,0.10306177,0,7
112,14,0,0,-0.6307642,0,0
113,14,0,0,-0.01573,0,1
114,14,0,0,0.30945945,0,2
115,14,0,0,-0.11392837,0,3
116,14,0,0,-0.1722097,0,4
117,14,0,0,0.118740484,0,5
118,14,0,0,-0.077967614,0,6
119,14,0,0,-0.44077557,0,7
120,15,0,0,-0.40024292,0,0
121,15,0,0,-0.26167923,0,1
122,15,0,0,-0.007395327,0,2
123,15,0,0,0.24194145,0,3
124,15,0,0,0.032217585,0,4
125,15,0,0,0.582706,0,5
126,15,0,0,-0.309789,0,6
127,15,0,0,0.1721221,0,7
128,16,0,0,-0.18824828,0,0
129,16,0,0,-0.0815367,0,1
130,16,0,0,-0.13984224,0,2
131,16,0,0,0.5079106,0,3
132,16,0,0,-0.64370143,0,4
133,16,0,0,0.47304595,0,5
134,16,0,0,0.31484902,0,6
135,16,0,0,-0.23577875,0,7
136,17,0,0,-0.25451317,0,0
137,17,0,0,0.1494977,0,1
138,17,0,0,-0.13966599,0,2
139,17,0,0,0.48726815,0,3
140,17,0,0,-0.48291448,0,4
141,17,0,0,0.8974767,0,5
142,17,0,0,0.41250724,0,6
143,17,0,0,-2.83335,0,7
144,18,0,0,-0.41586244,0,0
145,18,0,0,-0.12146983,0,1
146,18,0,0,-0.23547645,0,2
147,18,0,0,0.944566,0,3
148,18,0,0,-0.6551645,0,4
149,18,0,0,0.56947756,0,5
150,18,0,0,0.028748516,0,6
151,18,0,0,-3.2945728,0,7
